title,url,address,city,location/lat,location/lng,neighborhood,phone,street,state,website,price,label,description (optional),imageUrl
Kos Putri ELQIZA,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20ELQIZA&query_place_id=ChIJ-c0gei771y0RgrDMZ5qi_tc,"Jl. Jojoran III No.106, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",Surabaya,-7.274.912,1.127.669.386,"Mojo, Kecamatan Gubeng",,Jl. Jojoran III No.106,Jawa Timur,,1.750.000,P,"AC
Kasur
Meja
Lemari / Storage
Ventilasi
Jendela
Cermin
Bantal
Kursi
Kamar Mandi Dalam
Kloset Duduk
Shower",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OMsSBF-sVSIyIVArEWRa3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=213.77718&pitch=0&thumbfov=100
kos putri UWM,https://www.google.com/maps/search/?api=1&query=kos%20putri%20UWM&query_place_id=ChIJn-_ET8H71y0RNs8um5w54u8,"Jl. Dinoyo Lor III No.30, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265, Indonesia",Surabaya,-72.826.665,1.127.444.029,"Keputran, Kecamatan Tegalsari",+62 856-4864-9517,Jl. Dinoyo Lor III No.30,Jawa Timur,,1.300.000,P,"AC
Kasur
Meja
Lemari / Storage
Bantal
Wastafel
Kursi
Kamar Mandi Dalam
Kloset Duduk
Shower",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyqQdaXxzwzqfhnffjSJpxh06iGg8KzMJ2ow2giDyxMoaUdUM5fHYFjTj4X7vqKgKfSvJq2dPtuxAsOozRnD0movtDPaFxh4ZJx556An6xyWtgt9GnKHGp6KAbabyW6Jz2twgr=w408-h544-k-no
Kos Putri Annur,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Annur&query_place_id=ChIJa0UzVOz71y0RLD1MwWhQlW0,"Jl. Karang Wismo No.18, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-72.751.482,1.127.590.308,"Airlangga, Kecamatan Gubeng",+62 812-3297-760,Jl. Karang Wismo No.18,Jawa Timur,,800.000,P,"Kasur
Meja
Meja Rias
Lemari / Storage
Ventilasi
Kursi
Kloset Jongkok
Kamar Mandi Luar
Bak Mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQfYgfuyC0cNicb862TQChqzuRXZrLrpq6hAz_4k1o6nPAxoxPzCv3coiQreABmlxT74WG8sRifpjA3z5PC5eyHmcFjo8oI2E0Hq9Ll7l9XCvQjkctdqa4lfPt76dguG5TqdU=w408-h272-k-no
KOST PUTRI MODES IN,https://www.google.com/maps/search/?api=1&query=KOST%20PUTRI%20MODES%20IN&query_place_id=ChIJy3kzp_f71y0RLK91bcLlYXA,"Jl. Kertajaya IV C Tengah No.8, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",Surabaya,-7.279.691,11.275.317,"Kertajaya, Kecamatan Gubeng",+62 857-4978-1509,Jl. Kertajaya IV C Tengah No.8,Jawa Timur,,600.000,P,"Kasur
Meja
Lemari / Storage
Ventilasi
Jendela
Bantal
Kloset Jongkok
Kamar Mandi Luar
Ember Mandi
Bak Mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFM28T03yiQsy-dDUqjHpjVXZqj9-zAQA62EDfsMVtb2ThlVq2kqf3E8vKBFmdNRfDLcyCY-_yuVNIEj7PcUdlg1Y0Maau3KHMQPrpMrsI_VLs3DuG6ZflUTcqxXwnPw-ViKqro=w408-h725-k-no
Kost Putri Bu Yus Gubeng Kertajaya,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Bu%20Yus%20Gubeng%20Kertajaya&query_place_id=ChIJy5YfReX71y0RC1AIR4kWd5U,"Jl. Gubeng Kertajaya IX A Dalam No.25, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-72.778.072,1.127.580.741,"Airlangga, Kecamatan Gubeng",+62 812-1828-6228,Jl. Gubeng Kertajaya IX A Dalam No.25,Jawa Timur,,750.000,P,"Kasur
Meja
Lemari / Storage
Jendela
Guling
Bantal
Kloset Duduk
Kamar Mandi Luar
Ember Mandi
Bak Mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFR4slVVd14FkrJNs0te0rP99_5mNy4hWkB2E0a8Jnh1Byf1hwkPYWW5RcwP1ltAm8JbXKCPQVJAWvPRcpl_yxiiiE0WZUh_4jMQ5ASXKyNcO9P7yPwxigER4-cD2etkq5oEb3bepb-6Yh8=w408-h544-k-no
KOS PUTRI NAFISA-2,https://www.google.com/maps/search/?api=1&query=KOS%20PUTRI%20NAFISA-2&query_place_id=ChIJqQe8SgD71y0RVPq1eSBQ5zg,"Jl. Gubeng Kertajaya VII B No.42, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-72.771.125,1.127.566.086,"Airlangga, Kecamatan Gubeng",,Jl. Gubeng Kertajaya VII B No.42,Jawa Timur,,825.000,P,"Kasur
Meja
Lemari / Storage
Ventilasi
Jendela
Cermin
Bantal
Kipas Angin
Kloset Duduk
Kamar Mandi Luar
Ember Mandi
Shower",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pFbnBVCcz3PDPukXs9hJbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.04454&pitch=0&thumbfov=100
Griya Ayu Kos Putri,https://www.google.com/maps/search/?api=1&query=Griya%20Ayu%20Kos%20Putri&query_place_id=ChIJZWAcbgD71y0RXLtNq9sw93I,"Jl. Barata Jaya IV No.70B, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",Surabaya,-7.302.142,112.756.685,"Baratajaya, Kecamatan Gubeng",,Jl. Barata Jaya IV No.70B,Jawa Timur,,1.300.000,P,"AC
Kasur
Meja
Lemari / Storage
Jendela
Cermin
Bantal
Kursi
Kloset Duduk
Kamar Mandi Luar
Shower",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wraL8kR9LOqX6-Ilk9wffw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.17502&pitch=0&thumbfov=100
Kos RK gubeng,https://www.google.com/maps/search/?api=1&query=Kos%20RK%20gubeng&query_place_id=ChIJ71E1VkX51y0RZWy_AzfJ5ss,"Karang Gayam Wetan Gg. I No.12, RW.02, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",Surabaya,-72.639.503,1.127.672.657,"Mojo, Kecamatan Gubeng",+62 895-0113-6500,"Karang Gayam Wetan Gg. I No.12, RW.02",Jawa Timur,,1.100.000,C,"Kasur
Lemari / Storage
Jendela
Dapur Pribadi
Kamar Mandi Dalam
Kloset Duduk
Ember Mandi
Shower
Bak Mandi",
"Kos Putri SEKAR ARUM 1, dekat Unair",https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20SEKAR%20ARUM%201%2C%20dekat%20Unair&query_place_id=ChIJcdSRjqH51y0RVBZtBdSZklE,"jl. Kedung Pengkol wetan Kel No.3, Mojo, Gubeng, Surabaya, East Java 60285, Indonesia",Surabaya,-72.640.902,1.127.648.761,"Mojo, Kecamatan Gubeng",+62 878-4616-9305,jl. Kedung Pengkol wetan Kel No.3,Jawa Timur,,1.100.000,P,"AC
Kasur
Kamar Mandi Dalam
Kloset Duduk
Shower",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lG6_THSp0GBmjzkozjr0zw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=29.24388&pitch=0&thumbfov=100
Kost Nano modern dan strategis,https://www.google.com/maps/search/?api=1&query=Kost%20Nano%20modern%20dan%20strategis&query_place_id=ChIJ1f5nDwD51y0Rks_ymAAQIu0,"Jl. Pacar Kembang No.37, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132, Indonesia",Surabaya,-72.607.675,1.127.601.471,"Pacar Kembang, Kecamatan Tambaksari",,Jl. Pacar Kembang No.37,Jawa Timur,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-nano-tambaksari-surabaya,1.500.000,P,"AC
Kasur
Meja
Lemari / Storage
Kursi
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6HNe1AEp8_j_C3mBVCBi9oHLkrynI9Ftx9ye-xOlzWWU4k94Q2p_qD90Q4nHqPHSAzdrvac5ed5_df9z3A1EWc7NtSkCQx9JZDwSzCypNsa0mNDf4KBIr5BHxsE9Ej1U6Jbs-OsrOiLw=w408-h544-k-no
Nisah's Home,https://www.google.com/maps/search/?api=1&query=Nisah's%20Home&query_place_id=ChIJq3pa-s771y0RINGmu2zKte8,"Jl. Gubeng Kertajaya VI B No.3, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",Surabaya,-72.793.097,1.127.546.655,"Kertajaya, Kecamatan Gubeng",+62 822-4388-6433,Jl. Gubeng Kertajaya VI B No.3,Jawa Timur,http://nisahome.com/,1.550.000,P,"- AC
- KM dalam
- Wifi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFodbC1dFIAzCsRL3P2ZNttK_sca15Ee8qOwaQJSuEmc6JX1LdDyBquKVg3lu-5W9TgoKy8ZUAhlDnSoJq0n53YjJ8WrVwmpd-0MaApeKOI4i5CHctvsp6rJZPKL-kwEHCB6Ije=w408-h270-k-no
Kost maafey,https://www.google.com/maps/search/?api=1&query=Kost%20maafey&query_place_id=ChIJ324veiz51y0RX6LNErYPxGE,"Pacar kembang5f No.33, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132, Indonesia",Surabaya,-72.607.912,1.127.679.382,"Pacar Kembang, Kecamatan Tambaksari",+62 878-5547-8885,Pacar kembang5f No.33,Jawa Timur,,700.000,L,"Kipas angin
Kasur
Meja
Lemari / Storage
Kursi
KM luar",https://lh3.googleusercontent.com/gps-cs-s/APNQkAELGYxszCbdRpt3E3vF5Rf5BTzt6H5X1szBLPxIi2v6bIFYUJ17zbpOtaLaFDfbP1RGXsr1gqE0ahKQsxWuW2ftuFt4e4q0TrjajPWxE9QeWjCRGyWeoBaXOsKexePNRYv0hC7D=w408-h544-k-no
Kost Karang Empat XI,https://www.google.com/maps/search/?api=1&query=Kost%20Karang%20Empat%20XI&query_place_id=ChIJj2RbDQL51y0R17yUSq18liE,"Jl. Karang Empat XI No.17, Ploso, Kec. Tambaksari, Surabaya, Jawa Timur 60133, Indonesia",Surabaya,-72.515.795,1.127.751.142,"Ploso, Kecamatan Tambaksari",+62 851-2452-5341,Jl. Karang Empat XI No.17,Jawa Timur,,1.250.000,C,"AC
Kasur
Meja
Lemari / Storage
Kursi
KM luar",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHm0kq8BQw5QKocQH66eLSKylozePLhHIO7td5yZf7SQJxqC4bo_NVP4549kF_50zwGXXT0TRuo8rfQUnn6nMtB5L8KpMw9iLHvg4htzzB8MlsrHMuy7V1CSzHEbjAYfEdAA28=w408-h544-k-no
Kost Griya Putri 14 Gubeng,https://www.google.com/maps/search/?api=1&query=Kost%20Griya%20Putri%2014%20Gubeng&query_place_id=ChIJq36NI_f71y0RXlGgORJWwo4,"Jl. Gubeng Kertajaya IV B No.14, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60232, Indonesia",Surabaya,-72.793.601,1.127.529.676,"Kertajaya, Kecamatan Gubeng",+62 31 99441234,Jl. Gubeng Kertajaya IV B No.14,Jawa Timur,,2.100.000,P,"AC
Kasur
Meja
Meja Rias
Lemari / Storage
TV Kabel
Kursi
Cleaning service
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwSrMWEXo4P_UkFLW5519yBA7N5sKgizl8lvLLauS7NkkbEDXqXvrQDhDwa7AxN8NPJKJc7uc0vDhVs11_WZzATKEDTEFHk9VNEHNqpeubc_ohwcuDbPiuMNfHTGjwoilAYcni=w408-h306-k-no
FS-Kost,https://www.google.com/maps/search/?api=1&query=FS-Kost&query_place_id=ChIJhTgxQrH71y0Rb9gWZJS52l8,"Jl. Gubeng Kertajaya VIII C No.49, RT.010/RW.12, Kertajaya, Gubeng, Surabaya, East Java 60282, Indonesia",Surabaya,-72.803.781,1.127.582.548,"Kertajaya, Kecamatan Gubeng",+62 856-2369-552,"Jl. Gubeng Kertajaya VIII C No.49, RT.010/RW.12",Jawa Timur,,1.700.000,C,"AC
Kasur
Meja
Lemari / Storage
Kursi
KM Dalam",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i439PymE8sfmJRNptCjdaA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.98584&pitch=0&thumbfov=100
Kos Oma Gubeng,https://www.google.com/maps/search/?api=1&query=Kos%20Oma%20Gubeng&query_place_id=ChIJnYPXbQD71y0RNtczeY50UCA,"Jl. Mojo Kidul No.69-A, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",Surabaya,-72.686.657,1.127.673.901,"Mojo, Kecamatan Gubeng",81336121948,Jl. Mojo Kidul No.69-A,Jawa Timur,,1.550.000,P,"AC
Kasur
Meja
Lemari / Storage
Kursi
Kulkas
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHnwaHburyciFePXGeugGxOlv6_1tyfP0RzL15wpPS36kQHqoKJGIqARIbaEI0jTxV21TM6Io0VU3gkKy1kT8DNueXJc2M2JefCmGyOUs5Wz6zv_0p3na2CiD0JgOqdDQyasq5Xm_iH8YH=w408-h544-k-no
KOS 59 SBY UNAIR,https://www.google.com/maps/search/?api=1&query=KOS%2059%20SBY%20UNAIR&query_place_id=ChIJp96YBgH51y0RdSsvBcvmr7I,"Jl. Kedung Sroko No.59, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132, Indonesia",Surabaya,-72.619.901,1.127.596.957,"Pacar Kembang, Kecamatan Tambaksari",+62 851-0287-6666,Jl. Kedung Sroko No.59,Jawa Timur,https://linktr.ee/kos59.sby,1.900.000,C,"AC
Kasur
Meja
Lemari / Storage
Kursi
Kulkas
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNdJwBzAAbi7YaOBOuhVmEBzzZW_VDTS2wvJhgVH3qe1YdFcJJxlAlp3zv0UbIUr-zMQHgxm8Ko-bzzXYzlXml4WA84MnMbYbKWuKUf2rm8Hiu4N9jTKg6WvRe37A_bruZGU4=w408-h408-k-no
Griya Lestari Kos,https://www.google.com/maps/search/?api=1&query=Griya%20Lestari%20Kos&query_place_id=ChIJ0xE3pUz51y0R2Q_iuxxp55U,"Jalan Karang Asem XI No.2, Ploso, Kec. Tambaksari, Surabaya, Jawa Timur 60133, Indonesia",Surabaya,-72.510.738,1.127.741.741,"Ploso, Kecamatan Tambaksari",+62 821-1068-5371,Jalan Karang Asem XI No.2,Jawa Timur,,2.100.000,C,"AC
Kasur
Meja
TV
Lemari / Storage
Kursi
Kulkas
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDaTG1kY7w5EUqLjLxYxgDLTvucmvM107Wqb_9mkkntFz4-EVYKDa7ggVMgRX1tpNL-KvlRfgzgWtwrtCNbE_6DySwVYovcv2WXw7aQnAHNu4sUxR4UY6G-Gwr9o90CO0R0bKt9g=w408-h256-k-no
Kost Rumah 87,https://www.google.com/maps/search/?api=1&query=Kost%20Rumah%2087&query_place_id=ChIJi3g0lkH51y0RlENzGNS4N_g,"Jl. Ploso 1 No.87, RT.13/RW.05, Ploso, Kec. Tambaksari, Surabaya, Jawa Timur 60133, Indonesia",Surabaya,-72.528.484,1.127.657.639,"Ploso, Kecamatan Tambaksari",+62 812-1314-8370,"Jl. Ploso 1 No.87, RT.13/RW.05",Jawa Timur,,1.500.000,C,"AC
Kasur
Meja
Lemari / Storage
Kursi
Kulkas
Cleaning service
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7JkYjm9ugllGkfjS934AKeNdBg3W8KXLURNp3wGMy6c1LHeuGF-3EiJFsUe5j40hH8wfoW-7oQKBFo7SckEFaRtJ54x6S-ZKeiZoKPC9m-zYLZ3ETX2dXsu70TVEKxxjtY54Z5w=w408-h306-k-no
Kost Executive Ploso,https://www.google.com/maps/search/?api=1&query=Kost%20Executive%20Ploso&query_place_id=ChIJ_erdiZ351y0RzghVUrz-9WU,"Jl. Ploso 1 No.22, Ploso, Kec. Tambaksari, Surabaya, Jawa Timur 60133, Indonesia",Surabaya,-72.525.819,1.127.629.757,"Ploso, Kecamatan Tambaksari",+62 851-0309-8764,Jl. Ploso 1 No.22,Jawa Timur,https://kostplososurabaya.com/,1.700.000,C,"AC
Kasur
Meja
TV
Meja Rias
Lemari / Storage
Kursi
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHh7GNdZVuy-BDfhHgnVeTFBT1rbSNHlaBMp037DxoiNWLnz2Q6_88WExhTz90wj-mbiviBCdRAbCCylvdP7ew4ETkXU11SqEzGThBTcipG-bKOrpcaNjqAVS_1LO9qdLAdxJV_=w408-h306-k-no
